Title,Author,Identifier,Inventory,Count,Rate,Publisher,PublishedDate
Python金融实战案例精粹,斯文著,F830.49/182,5,4,0.8,人民邮电出版社,2020
大拐点,袁剑著,F113.7/17,5,4,0.8,中信出版社,2012.05
货币金融学,张晨主编,F820/77,8,4,0.5,科学出版社,2020
计量经济学原理,(美) 彼得·肯尼迪著,F224.0/124=6,6,4,0.67,中国人民大学出版社,2014
浪潮之巅.上册.第4版,吴军著,F49/23-1=4,8,4,0.5,人民邮电出版社,2019
计量经济学.第4版,庞皓主编,F224.0/11=4,6,4,0.67,科学出版社,2019
计量经济学理论与应用,"王立平, 万伦来等编著","F224.0/19, 27.343/1001",18,4,0.22,合肥工业大学出版社,2008
基础会计学,潘立生主编,F230/498,8,4,0.5,科学出版社,2021
微观经济学习题集.第3版,主编张顺,F016-44/12=3,6,4,0.67,中国人民大学出版社,2021
宏观经济学,(美) N.格里高利·曼昆(N. Gregory Mankiw)著,F015/112=10,4,4,1.0,中国人民大学出版社,2020
第五项修炼:学习型组织的艺术与实践:the art & practice of the learning organization,彼得·圣吉著,F270/164,8,4,0.5,中信出版社,2009
国富论,(英) 亚当·斯密著,F091.33/22,6,4,0.67,华夏出版社,2012
八次危机:中国的真实经验:1949-2009,温铁军等著,F124.8/5,5,4,0.8,东方出版社,2013
计量经济学导论:现代观点:A modern approach,杰弗里·M·伍德里奇著,F224.0/130=5,6,4,0.67,中国人民大学出版社,2015
图解投资学:学会投资的第一本书:彩图典藏版,盛思编,F830.59-64/2,6,4,0.67,中国华侨出版社,2017
国际政治经济学.第3版,朱文莉著,F11-0/81=3,6,4,0.67,北京大学出版社,2021
金融工程.第5版,"郑振龙, 陈蓉主编",F830/233=5,4,4,1.0,高等教育出版社,2020
让数字说话:审计，就这么简单.修订版,"孙含晖, 王苏颖, 阎歌著",F239.0/111=2,6,4,0.67,机械工业出版社,2016
厌女:日本的女性嫌恶,(日) 上野千鹤子著,G131.3/6,10,20,2.0,上海三联书店,2015
娱乐至死,(美) 尼尔·波兹曼著,G241.3/1,8,8,1.0,中信出版社,2015.05
2023年计算机网络考研复习指导,王道论坛组编,G643:TP393/1(2023),6,6,1.0,电子工业出版社,2021
如何阅读一本书,"(美)莫提默·J.艾德勒, (美)查尔斯·范多伦著",G792/8,16,6,0.38,商务印书馆,2004.01
2023年数据结构考研复习指导,王道论坛组编,G643:TP/36(2023),6,6,1.0,电子工业出版社,2021
未来简史:从智人到神人,(以) 尤瓦尔·赫拉利著,G303-49/14,14,6,0.43,中信出版集团,2017
邱关源《电路》(第5版) 笔记和课后习题 (含考研真题) 详解,主编圣才考研网,G643:TM13/1,4,5,1.25,中国石化出版社,2015
优秀的绵羊:the miseducation of the American elite & the way to a meaningful life,(美) 威廉·德雷谢维奇著,G649.712/26,4,5,1.25,九州出版社,2016
"机械考研宝典,机械原理",史瑞东主编,G643:TH11/1-1,4,5,1.25,北京理工大学出版社有限责任公司,2021
大学生网络思想政治教育,教育部思想政治工作司组编,G641-39/1,6,5,0.83,高等教育出版社,2011
网络传播概论.第4版,彭兰著,G206.2/128=4,7,5,0.71,中国人民大学出版社,2017
An introduction to intercultural communication,主编曹湘洪,G115/1,6,5,0.83,科学出版社,2010.01
词以类记:考研英语词汇,张红岩编著,G643:H313/112,6,4,0.67,海豚出版社,2018
思想道德修养与法律基础教学指导书,"孙建英, 徐菂, 贾淑品主编",G641.6/22,6,4,0.67,清华大学出版社,2018
